beta,train_loss,val_loss,recon_loss,kl_loss
CONFIG,IMG_SIZE=128,LATENT_DIM=16,"HIDDEN_DIMS=[8, 16, 32, 64]","BATCH_SIZE=128, EPOCHS=60, LR=0.0002, DEVICE=cpu"
0.0001,0.0076,0.0076,0.005,26.2756
0.0005,0.0144,0.0144,0.0091,10.4517
0.001,0.0168,0.0167,0.0084,8.4178
0.002,0.025,0.0251,0.0114,6.8249
0.003,0.0355,0.0356,0.0187,5.6093
0.004,0.0371,0.0373,0.0163,5.1876
0.005,0.0428,0.0432,0.0182,4.9278
0.006,0.0467,0.0467,0.0193,4.5672
0.007,0.055,0.0545,0.0256,4.2034
0.008,0.0561,0.0563,0.0233,4.0898
0.009,0.0614,0.0621,0.027,3.8243
0.01,0.065,0.0647,0.0291,3.586
0.05,0.1593,0.1607,0.0827,1.5321
0.1,0.2195,0.2185,0.1364,0.8303
